0.4444,0.4444,0.5556,0.5556,0.5556,0.5556,0.5556,0.5556,0.5556,0.5556,0.5556,0.5556
0.7667,0.7667,0.7667,0.7667,0.7667,0.7667,0.7667,0.7667,0.7667,0.7667,0.7667,0.7667
0.7050,0.7050,0.7050,0.7050,0.7050,0.7050,0.7050,0.7050,0.7050,0.7050,0.7050,0.7050
0.8096,0.8096,0.8096,0.8096,0.8096,0.8096,0.8096,0.8096,0.8096,0.8096,0.8096,0.8096
0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333
0.0307,0.0307,0.0307,0.0307,0.0307,0.0307,0.0307,0.0307,0.0307,0.0307,0.0307,0.0307
0.2222,0.2222,0.2222,0.2222,0.2222,0.2222,0.2222,0.2222,0.2222,0.2222,0.2222,0.2222
0.5674,0.5674,0.5674,0.4592,0.4592,0.3511,0.3511,0.3511,0.3511,0.3511,0.3511,0.3511
0.5447,0.5447,0.5447,0.5447,0.5447,0.5447,0.5447,0.5447,0.5447,0.5447,0.5447,0.5447
0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333
0.8889,0.8889,0.8889,0.8889,0.8889,0.8889,0.8889,0.8889,0.8889,0.8889,0.8889,0.8889
