Série #1: [0.411606, 0.422094, 0.441638, 0.44934, 0.458778, 0.463594, 0.468339, 0.471152, 0.473605, 0.475194, 0.476485, 0.477366]
Série #2: [0.992988, 0.974494, 0.956018, 0.959909, 0.978503, 0.98736, 0.977054, 0.962586, 0.96201, 0.974185, 0.982697, 0.977732]
Série #3: [0.709471, 0.706844, 0.706844, 0.706844, 0.706844, 0.706844, 0.706844, 0.706844, 0.706844, 0.706844, 0.706844, 0.706844]
Série #4: [0.872816, 0.886218, 0.909608, 0.896265, 0.872982, 0.886265, 0.909442, 0.896218, 0.873148, 0.886312, 0.909277, 0.896172]
Série #5: [0.395822, 0.385941, 0.377689, 0.370796, 0.365039, 0.36023, 0.356214, 0.35286, 0.350058, 0.347717, 0.345763, 0.34413]
Série #6: [0.122526, 0.120774, 0.119355, 0.118204, 0.117272, 0.116516, 0.115904, 0.115408, 0.115005, 0.114679, 0.114415, 0.114201]
Série #7: [0.329746, 0.326206, 0.323881, 0.322354, 0.321352, 0.320693, 0.32026, 0.319976, 0.31979, 0.319667, 0.319587, 0.319534]
Série #8: [0.823814, 0.817026, 0.814219, 0.813058, 0.812578, 0.81238, 0.812298, 0.812264, 0.81225, 0.812244, 0.812241, 0.81224]
Série #9: [0.64945, 0.646416, 0.651356, 0.64925, 0.648154, 0.650141, 0.649226, 0.648837, 0.649634, 0.649239, 0.649104, 0.649423]
Série #10: [0.386437, 0.391202, 0.394791, 0.387834, 0.391618, 0.393345, 0.38887, 0.391744, 0.392444, 0.389616, 0.391728, 0.391894]
Série #11: [0.914252, 0.920812, 0.92669, 0.931957, 0.936677, 0.940906, 0.944696, 0.948092, 0.951135, 0.953862, 0.956305, 0.958495]
